"name"	"size"	"type"	"directory"
"b9"	"842"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ba"	"107"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"bc"	"1183"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"bf"	"716"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"c0"	"244"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"c1"	"1248"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"c3"	"163"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"c9"	"166"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ca"	"1130"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"cb"	"817"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ce"	"495"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"cf"	"183"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"d0"	"894"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"d4"	"334"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"d7"	"168"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"d9"	"117"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"db"	"517"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"dc"	"1178"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"dd"	"242"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"df"	"2779"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"e1"	"632"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"e2"	"193"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"e3"	"1851"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"e5"	"58"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"e6"	"81"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"e8"	"515"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"eb"	"3023"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ed"	"218"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ee"	"158"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ef"	"831"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"f1"	"107"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"f2"	"626"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"f4"	"715"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"f6"	"3067"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"f7"	"185"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"f8"	"616"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"fa"	"270"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"fd"	"243"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"fe"	"574"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"ff"	"1013"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"info"	"0"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"pack"	"1784"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects"
"heads"	"369"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs"
"remotes"	"4096"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs"
"tags"	"0"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs"
"origin"	"399"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\refs\remotes"
"inspectionProfiles"	"174"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.idea"
"chess"	"2358"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6"
"enigma"	"2907"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6"
"game"	"2444"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6"
"years"	"1689"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6"
"__pycache__"	"1569"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\enigma"
"__pycache__"	"1321"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\game"
"__pycache__"	"917"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_6\years"
"Doc"	"15088"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7"
"Image"	"5944"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7"
"Tasks"	"11582"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7"
"Test"	"0"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7"
"Video"	"0"	"directory"	"G:\Домашнее задание GeekBrains\Immersion_in_python\Home_Work_7"
