"name"	"size"	"type"	"directory"
"372180806f7451a10640c2765c697f260af404"	"852"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5f"
"e21f8e0172018fbfcd4d28c76aef4ce9411937"	"159"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\5f"
"a1c0c96c208a9be911835cb936a2bfb215aeba"	"185"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\63"
"c2ecde2918b69997978fb8debc310bddb973c1"	"489"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\63"
"a127afafd08e2eb27f3057512e348ad654ccc2"	"869"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\65"
"509e8bb6fd2ddfc1cd7177ef0fb7e3b4f43931"	"105"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\66"
"492d8be32484453db258c8967eaa8d0762c019"	"106"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\67"
"2130f053dcc8fc36da18913b08d14443998fbe"	"394"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6a"
"0464f3374d2bab0a26efd9b2c2c75a38212b07"	"282"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6b"
"af74daaf1520dbef350eb4cae384fa9b9a97f9"	"396"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6b"
"7f56581bb2534daa8764f471ae559a1ee91f6b"	"318"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6e"
"ed0ed8a45d0d85decf445f28cd5e3ff2277fde"	"714"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6e"
"4426ed3bbe159f287ecd0e1487f7fc6ad1ac56"	"723"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\6f"
"9e752b98440185059b2874d6cbed97777cf38e"	"171"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\71"
"fa6e53e21ac3e6e26b1e34575aee8e86f419e6"	"2016"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\72"
"e6f94ce9c1ec444b5ecd488bade378a2850baf"	"218"	"file"	"G:\Домашнее задание GeekBrains\Immersion_in_python\.git\objects\73"
