INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='hooks', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='info', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='logs', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='objects', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='refs', type=None, flag_directory=True, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='applypatch-msg', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='commit-msg', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='fsmonitor-watchman', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='post-update', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='pre-applypatch', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='pre-commit', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='pre-merge-commit', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='pre-push', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='pre-rebase', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='pre-receive', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='prepare-commit-msg', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='push-to-checkout', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
INFO - 2023-07-27 19:08:43,978. FileOrDirectory(name='update', type='sample', flag_directory=False, parent='G:\\Домашнее задание GeekBrains\\Immersion_in_python\\.git\\hooks')
